job,education,contact,poutcome,age_group,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,y
entrepreneur,basic.6y,telephone,nonexistent,youth segment(17-30y),4.766666666666667,3,0,0,1.4,93.918,-42.7,no
admin.,university.degree,telephone,nonexistent,pre-retirement(46-64y),2.966666666666667,6,0,0,1.4,94.465,-41.8,no
admin.,university.degree,cellular,nonexistent,youth segment(17-30y),1.7166666666666666,4,0,0,1.4,93.444,-36.1,no
admin.,university.degree,telephone,nonexistent,mid-career(31-45y),2.25,1,0,0,1.1,93.994,-36.4,no
blue-collar,high.school,cellular,nonexistent,mid-career(31-45y),6.966666666666667,1,0,0,-1.8,92.893,-46.2,no
entrepreneur,basic.4y,cellular,nonexistent,mid-career(31-45y),3.5166666666666666,5,0,0,-1.8,92.893,-46.2,no
services,high.school,telephone,nonexistent,mid-career(31-45y),9.933333333333334,1,0,0,1.1,93.994,-36.4,no
blue-collar,high.school,telephone,nonexistent,mid-career(31-45y),6.066666666666666,2,0,0,1.1,93.994,-36.4,no
blue-collar,university.degree,cellular,nonexistent,mid-career(31-45y),2.933333333333333,1,0,0,1.4,93.918,-42.7,no
unemployed,basic.4y,cellular,nonexistent,pre-retirement(46-64y),7.316666666666666,4,0,0,-1.8,92.843,-50.0,no
management,university.degree,cellular,nonexistent,mid-career(31-45y),2.7666666666666666,2,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,telephone,nonexistent,mid-career(31-45y),6.816666666666666,1,0,0,1.4,94.465,-41.8,no
services,high.school,telephone,nonexistent,youth segment(17-30y),2.95,4,0,0,1.1,93.994,-36.4,no
student,university.degree,cellular,success,mid-career(31-45y),4.65,4,6,2,-1.7,94.027,-38.3,yes
self-employed,university.degree,cellular,nonexistent,youth segment(17-30y),1.85,1,0,0,-1.8,93.075,-47.1,no
admin.,university.degree,cellular,failure,pre-retirement(46-64y),7.183333333333334,1,0,1,-1.8,93.369,-34.8,no
student,high.school,cellular,success,youth segment(17-30y),4.5,3,6,1,-3.4,92.431,-26.9,yes
services,high.school,cellular,nonexistent,pre-retirement(46-64y),1.2,30,0,0,1.4,93.918,-42.7,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),1.3833333333333333,3,0,0,1.4,93.918,-42.7,no
services,high.school,telephone,nonexistent,mid-career(31-45y),3.0,2,0,0,1.1,93.994,-36.4,no
management,university.degree,cellular,nonexistent,mid-career(31-45y),2.05,2,0,0,-1.8,92.893,-46.2,no
admin.,university.degree,telephone,nonexistent,mid-career(31-45y),0.8166666666666667,1,0,0,1.4,94.465,-41.8,no
management,basic.4y,cellular,nonexistent,pre-retirement(46-64y),2.033333333333333,1,0,0,1.4,93.918,-42.7,no
retired,university.degree,cellular,nonexistent,pre-retirement(46-64y),2.533333333333333,2,0,0,1.4,93.918,-42.7,no
admin.,university.degree,cellular,nonexistent,youth segment(17-30y),3.6666666666666665,3,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),4.683333333333334,1,0,0,-1.1,94.767,-50.8,yes
services,high.school,telephone,nonexistent,mid-career(31-45y),4.566666666666666,1,0,0,1.1,93.994,-36.4,no
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),3.0,2,0,0,-1.8,92.893,-46.2,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),3.0833333333333335,1,0,0,-2.9,92.201,-31.4,yes
blue-collar,basic.4y,cellular,nonexistent,pre-retirement(46-64y),2.716666666666667,3,0,0,-2.9,92.201,-31.4,no
