rank_test_score,mean_test_score,std_test_score,params
1,0.8851353739339336,0.0030063518221609686,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
2,0.8842655491290019,0.0019691586968936213,"{'model__min_samples_split': 9, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 13, 'model__class_weight': 'balanced'}"
3,0.8838046960453807,0.005267416553858305,"{'model__min_samples_split': 3, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 13, 'model__class_weight': 'balanced'}"
4,0.8837080212999959,0.005880029579406517,"{'model__min_samples_split': 8, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
5,0.8833090388118965,0.009053798373641748,"{'model__min_samples_split': 7, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 13, 'model__class_weight': 'balanced'}"
6,0.8832220410823558,0.003046880824049842,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
7,0.8832086153951695,0.006219457847036976,"{'model__min_samples_split': 3, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
8,0.8821774269529975,0.00360344532923217,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
9,0.8815830802724008,0.008945465771638173,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 12, 'model__class_weight': 'balanced'}"
10,0.8809157789610845,0.007029127058741561,"{'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 13, 'model__class_weight': 'balanced'}"
11,0.8802438153481408,0.007405998189510239,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': 'balanced'}"
