rank_test_score,mean_test_score,std_test_score,params
1,0.9064293164582908,0.0026781810752933223,"{'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.1}"
2,0.9059935042273624,0.0034020198122425935,"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.1}"
3,0.9058736158911488,0.0033011766677003107,"{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
4,0.9058450435670942,0.0017691683348114663,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794}"
5,0.9057096013120128,0.003885080279577269,"{'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 0.1}"
6,0.9056408335688483,0.0032476733004003677,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}"
7,0.9054832940782868,0.002547600907529972,"{'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.1}"
8,0.9054686974145743,0.0025161105472032656,"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794}"
9,0.905417523443068,0.0027883993214485405,"{'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.1}"
10,0.9052996806594749,0.0019737948254876813,"{'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794}"
11,0.9048761038499947,0.0026825480342042404,"{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.1}"
12,0.9047867818427212,0.0032321576184851162,"{'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
13,0.9047829566721688,0.0032322382102266726,"{'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.1}"
14,0.9047356252305649,0.0029874166674837845,"{'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379}"
15,0.9045246335003865,0.0030630174103456033,"{'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.31622776601683794}"
16,0.9044592147088704,0.0030769278729538808,"{'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.1}"
17,0.9043727780794647,0.002335993818508075,"{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794}"
18,0.9042932952793233,0.002584211286440686,"{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379}"
19,0.9042879941672656,0.003467934839405884,"{'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.1}"
20,0.9042582790713396,0.002737561711083467,"{'model__n_estimators': 400, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379}"
21,0.9042514087811361,0.003301055525614831,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.31622776601683794}"
22,0.9042132044475636,0.0026734334328313617,"{'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.31622776601683794}"
23,0.9041560159893136,0.002795400556456247,"{'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.1}"
24,0.9040943924653287,0.0014539432478078026,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.31622776601683794}"
25,0.9037229060840316,0.0030691760484910426,"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
26,0.9036774847881086,0.003318368073319626,"{'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.1}"
27,0.9036493921159622,0.002462916102492606,"{'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379}"
28,0.9034738712376373,0.003027603952738013,"{'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.31622776601683794}"
29,0.9034714221222515,0.0024381138471425597,"{'model__n_estimators': 400, 'model__max_depth': 6, 'model__learning_rate': 0.1}"
30,0.9030034812086821,0.002737727584949981,"{'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379}"
31,0.9027598239455221,0.0024399676254522234,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.31622776601683794}"
32,0.9026774423044447,0.002598697375966744,"{'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.03162277660168379}"
33,0.9025616804387934,0.003654966003394349,"{'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.31622776601683794}"
34,0.9023344626612599,0.0023214830049240304,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.1}"
35,0.9022413376190883,0.0035976328068447203,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 1.0}"
36,0.9020251081266926,0.0021816312047492348,"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379}"
37,0.9020030119689402,0.002613364653041236,"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.31622776601683794}"
38,0.9018065617052194,0.004764789230154978,"{'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 0.31622776601683794}"
39,0.9017632938492914,0.0029128839412835036,"{'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.31622776601683794}"
40,0.9013180640181092,0.0027510830819218305,"{'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379}"
41,0.9013037726688686,0.002431821100822853,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 1.0}"
42,0.9008904331355836,0.002113920397621549,"{'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.03162277660168379}"
43,0.9004285075019818,0.0029408191993888053,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
44,0.9002977123068433,0.0015980458845902062,"{'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.31622776601683794}"
45,0.9001729936475027,0.0029166325523426575,"{'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.01}"
46,0.9001461480978733,0.00281235793783655,"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 1.0}"
47,0.8999472845785925,0.002453624971875945,"{'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.31622776601683794}"
48,0.8998589808613897,0.0038580224556921346,"{'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.31622776601683794}"
49,0.8997822017475604,0.002500301518379328,"{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.31622776601683794}"
50,0.8997469269714718,0.0024407501563608225,"{'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 1.0}"
51,0.8989318297782164,0.0019801904548965186,"{'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 1.0}"
52,0.8985921937494222,0.0012778806265209594,"{'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.1}"
53,0.8985292304001711,0.00313078821575179,"{'model__n_estimators': 400, 'model__max_depth': 6, 'model__learning_rate': 0.31622776601683794}"
54,0.8980957127225311,0.0031021789009737168,"{'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.31622776601683794}"
55,0.8980229388146291,0.002649326260816142,"{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.03162277660168379}"
56,0.8979679879935281,0.0021896586199321227,"{'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.03162277660168379}"
57,0.897952320165858,0.0031627451067370517,"{'model__n_estimators': 400, 'model__max_depth': 6, 'model__learning_rate': 0.01}"
58,0.897892814559131,0.0030701109149512094,"{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 1.0}"
59,0.8974416599917522,0.0026239858629496923,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379}"
60,0.8966410507224472,0.0019674441150993056,"{'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 1.0}"
61,0.8963436415289225,0.00229538371259625,"{'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 1.0}"
62,0.8958698433929152,0.0026880329848906906,"{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.01}"
63,0.8957474341698013,0.0041733701220204545,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 1.0}"
64,0.8956415682089662,0.002698954494537843,"{'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.03162277660168379}"
65,0.8951976880185699,0.0031061473141831396,"{'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.03162277660168379}"
66,0.8951797330279965,0.003884311428673598,"{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 1.0}"
67,0.8951263366237248,0.0022309166286639576,"{'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 1.0}"
68,0.8949157707829652,0.0027106102431342766,"{'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 1.0}"
69,0.8947166346676552,0.0033203880814564636,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 1.0}"
70,0.8945268313207058,0.0032006831103558752,"{'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.01}"
71,0.8940890840757669,0.002608791222670851,"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 1.0}"
72,0.8940208079776104,0.0038097706971119936,"{'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 1.0}"
73,0.8937654991061941,0.0030466603800399345,"{'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 1.0}"
74,0.8933743825227767,0.002599941279110985,"{'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.01}"
75,0.8922960013216498,0.0015354732507703703,"{'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 1.0}"
76,0.8922567152511179,0.002290893448071656,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
77,0.8918819049351498,0.0022656644452752834,"{'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.03162277660168379}"
78,0.8918165528826971,0.0024922690819597364,"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.03162277660168379}"
79,0.8914067003352573,0.0032772671938055857,"{'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 1.0}"
80,0.8899916045447501,0.0030017164437268823,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.03162277660168379}"
81,0.88989277481903,0.0028914143585965415,"{'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 0.01}"
82,0.8892555358073538,0.0026247062015528114,"{'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.01}"
83,0.8888480875730073,0.0028736072564781064,"{'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.01}"
84,0.8864247095993635,0.010632900983764855,"{'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 1.0}"
85,0.8857573363537835,0.010147759262371252,"{'model__n_estimators': 400, 'model__max_depth': 6, 'model__learning_rate': 1.0}"
86,0.8856398251390741,0.0026161309677010802,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.03162277660168379}"
87,0.884700627981877,0.0030648269631842733,"{'model__n_estimators': 400, 'model__max_depth': 4, 'model__learning_rate': 0.01}"
88,0.8830359560519497,0.002903206379795445,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.01}"
89,0.8811056411817944,0.0023210217506938685,"{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.01}"
90,0.8810676054374813,0.005230534586560771,"{'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.01}"
91,0.8791702217505184,0.003004187434889256,"{'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.03162277660168379}"
92,0.8785098723988309,0.002916862552178372,"{'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.01}"
93,0.8778090098946885,0.005229345254691102,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.01}"
94,0.8768870971131962,0.00253259679706081,"{'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.01}"
95,0.8728325037199056,0.003477395686611815,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.03162277660168379}"
96,0.872464748904585,0.003624299391650147,"{'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.01}"
97,0.8712904750221988,0.0030879496411931003,"{'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01}"
98,0.8525649368011751,0.006824760239027997,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.01}"
99,0.8464024339403589,0.004877677323948971,"{'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.01}"
100,0.8390432454948729,0.006971299737744284,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.01}"
