rank_test_score,mean_test_score,std_test_score,params
1,0.9047343073227653,0.0023811133763500295,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100}"
2,0.9045247684810827,0.002713798405339112,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300}"
3,0.9043843417019453,0.0026661075487093835,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200}"
4,0.9040333775452591,0.003168943189402481,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 100}"
5,0.9031299640619,0.0019872930718559073,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 200}"
6,0.9019853683830625,0.0035317117537479667,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 200}"
7,0.9019521867312783,0.0027734045687483775,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 300}"
8,0.9006825304578235,0.002931781523787062,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100}"
9,0.9006143382060386,0.0038397209472323577,"{'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 300}"
10,0.9005851278375261,0.004009216216798555,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 100}"
11,0.9000856626118505,0.003280302815876525,"{'model__learning_rate': 0.1, 'model__max_depth': 20, 'model__n_estimators': 100}"
12,0.8990335027266587,0.003529977030452014,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 200}"
13,0.8987166652913995,0.0022911727044507757,"{'model__learning_rate': 0.1, 'model__max_depth': 20, 'model__n_estimators': 200}"
14,0.8981376411663644,0.0028044238371255836,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 300}"
15,0.8978520530162764,0.0018722296436109688,"{'model__learning_rate': 0.1, 'model__max_depth': 20, 'model__n_estimators': 300}"
16,0.8978457573927692,0.00228713816654729,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 100}"
17,0.8973987469777442,0.002427055276400173,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 100}"
18,0.8970583433705623,0.002501319863947938,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 200}"
19,0.896576530965626,0.0035498711288917384,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 200}"
20,0.8965015140497643,0.0023091844240317855,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 300}"
21,0.8956030382458575,0.004757319158754768,"{'model__learning_rate': 1, 'model__max_depth': 5, 'model__n_estimators': 300}"
22,0.894690201889216,0.0025783126690695677,"{'model__learning_rate': 1, 'model__max_depth': 20, 'model__n_estimators': 100}"
23,0.8943613709981844,0.002007771745210099,"{'model__learning_rate': 1, 'model__max_depth': 20, 'model__n_estimators': 200}"
24,0.8943005535233706,0.0028455182710920325,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 200}"
25,0.8940871093763316,0.003406039544481076,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 300}"
26,0.8940331671292853,0.0016606295436078456,"{'model__learning_rate': 1, 'model__max_depth': 20, 'model__n_estimators': 300}"
27,0.8937978004748158,0.0027940093679003006,"{'model__learning_rate': 1, 'model__max_depth': 10, 'model__n_estimators': 100}"
